name,N,chi2,chi2N,huber_mond,medabs_mond
UGC04483,8,3.6065369843228714,0.4508171230403589,0.22540856152017946,0.6874443053721686
UGC04499,9,16.100031780711166,1.7888924200790184,0.8767557463570745,1.2707766673994356
UGC05005,11,25.39923380661591,2.309021255146901,1.0785941134862485,1.3123165946345485
UGC05253,63,213.50553655666215,3.388976770740669,1.5244694023017185,1.9923257628700977
UGC05716,12,3.5020404831372156,0.2918367069281013,0.14591835346405066,0.4007734683642301
UGC05721,22,11.866657201663648,0.5393935091665294,0.2696967545832647,0.6189796395152194
UGC05750,10,23.50987222577587,2.350987222577587,1.1267583732049837,1.4297549578816462
UGC05764,10,3.1777223822656198,0.317772238226562,0.158886119113281,0.5087886245585935
UGC05829,11,9.123450613353716,0.8294046012139742,0.4147023006069871,0.9594410409077008
UGC05918,8,3.337728433070464,0.417216054133808,0.208608027066904,0.613722132162973
UGC05986,15,5.17646241473685,0.34509749431579,0.17156321251041112,0.14549660123089794
UGC06399,9,4.669730076584502,0.518858897398278,0.259429448699139,0.6826673710114121
UGC06446,17,2.3107125780692015,0.13592426929818832,0.06796213464909416,0.3075333438718427
UGC06614,13,89.45724935503837,6.88132687346449,2.4000876469636614,2.302119379218809
UGC06628,7,71.93665936858797,10.276665624083995,3.179259599077293,3.150577161529361
UGC06667,8,7.782735138228615,0.9728418922785769,0.48642094613928843,1.0435942564834038
UGC06786,41,25.448827385076676,0.6207031069530896,0.31034415506924623,0.6760472094334258
UGC06787,63,113.37849705009519,1.7996586833348442,0.7831414596303451,1.0354507547296288
UGC06818,8,29.402057061184212,3.6752571326480266,1.461938415281055,1.4789547662921607
UGC06917,11,12.773969990107043,1.1612699991006403,0.5769493714712387,1.0832521527608299
UGC06930,10,23.500803316106555,2.3500803316106555,1.1178811775975679,1.6362321871803402
UGC06973,9,242.1557167893488,26.906190754372087,5.278199472851369,3.925996547855719
UGC06983,17,9.345452946099007,0.549732526241118,0.26835656708662375,0.45474759738281234
UGC07089,12,49.20242380153198,4.100201983460998,1.7821644227917925,2.0207698048624216
UGC07125,13,115.10575885060801,8.854289142354462,3.044714202427845,2.7966904831645323
UGC07151,11,16.327800156670467,1.4843454687882243,0.7402144321537217,1.2335184719570627
UGC07261,7,5.997810699754647,0.8568300999649496,0.4284150499824748,0.9307254917440632
UGC07323,9,34.31172295984377,3.812413662204863,1.7142053447296606,1.9367784956468197
UGC07399,10,16.76407374205871,1.676407374205871,0.8355066174632281,1.4051787004305774
UGC07524,27,38.22676135217208,1.4158059760063735,0.6790404181133154,0.8736227510856213
UGC07559,7,12.491197898278907,1.7844568426112724,0.8890016900358384,1.3451754887528184
UGC07577,9,22.340932233243752,2.48232580369375,1.1733263621859473,1.6999047957156879
UGC07603,12,2.815122945531362,0.2345935787942802,0.1172967893971401,0.1559628098024311
UGC07608,8,1.153028904908472,0.144128613113559,0.0720643065567795,0.3156036092511752
UGC07690,7,9.112640948137493,1.3018058497339275,0.6506286104966813,1.1552249641359975
UGC07866,7,8.447542767385684,1.2067918239122406,0.6033959119561203,1.2158334356136646
UGC08286,17,1.6256680779941597,0.09562753399965646,0.04781376699982823,0.10616195269721634
UGC08490,30,0.599294321946954,0.019976477398231798,0.009988238699115899,0.10579240993885144
UGC08550,11,1.518104787730829,0.13800952615734807,0.06900476307867404,0.39318391846534606
UGC08699,36,55.11769244965796,1.531047012490499,0.7641862727924195,1.2826566281333047
UGC08837,8,29.704810842444353,3.713101355305544,1.672738104671938,1.8963189283677664
UGC09037,22,378.27792980354127,17.19445135470642,4.451239702592408,3.7830408231305395
UGC09133,65,313.8701855400087,4.828772085230903,2.018643719969282,2.1861102769547935
UGC10310,7,7.894329030375827,1.1277612900536895,0.5600270993904761,0.7940124880014483
UGC11455,33,279.5290509069598,8.470577300210904,2.932679728037536,2.8454553465035044
UGC11557,11,177.3208125056328,16.120073864148438,4.471418569046805,3.960463146479615
UGC11820,7,8.08923526126399,1.1556050373234272,0.5767115035018432,1.26186076514145
UGC11914,60,78.42047697511057,1.3070079495851763,0.6514582189469142,1.2371415836460389
UGC12506,30,19.94963897784274,0.6649879659280913,0.3300091349780597,0.5319312453638583
UGC12632,14,11.910941585409168,0.8507815418149406,0.4233932249206118,0.7028827528062686
UGC12732,16,7.972403620872365,0.4982752263045228,0.2491376131522614,0.5846520639782737
UGCA442,8,1.538524401497318,0.19231555018716476,0.09615777509358238,0.2950643607678537
UGCA444,32,8.028993092143978,0.2509060341294993,0.12545301706474965,0.5121596115999806
