name,N,chi2,chi2N,huber_ilg,medabs_ilg
UGC06917,11,11.814023719480485,1.0740021563164077,0.5314810246142706,0.9905752713551277
UGC06930,10,6.0945935420256045,0.6094593542025605,0.3039578055627853,0.7456636200535997
UGC06973,9,115.5867776527132,12.84297529474591,3.8583562202313524,3.7363277419909653
UGC06983,17,30.23752317312265,1.778677833713097,0.8220737300524592,1.129721092928923
UGC07089,12,1.1470823776258647,0.09559019813548873,0.047795099067744366,0.1533488668792825
UGC07125,13,8.385099796070712,0.645007676620824,0.3224411588228916,0.5768681268426562
UGC07151,11,19.36055324537368,1.760050295033971,0.848539124882715,1.2395051902420577
UGC07261,7,14.131155596215013,2.0187365137450017,0.971937259945154,1.290668903712946
UGC07323,9,3.80127102220387,0.42236344691154115,0.21118172345577058,0.7286344488768536
UGC07399,10,130.51018770836296,13.051018770836297,3.913114869834339,3.7000955907417428
UGC07524,27,47.21486172491616,1.7486985824043022,0.843172677828806,1.4735067461081297
UGC07559,7,5.997882950129578,0.8568404214470826,0.4284202107235413,1.0280039740363207
UGC07577,9,0.6679960198028635,0.07422177997809594,0.03711088998904797,0.1515793562850246
UGC07603,12,60.371913011897895,5.030992750991492,2.0160213298556084,2.4895871856131633
UGC07608,8,37.18697334273575,4.648371667841968,1.9092682535231615,2.3400035303068267
UGC07690,7,15.40272394319459,2.2003891347420845,1.064566310747523,1.377800501446361
UGC07866,7,7.314150256420553,1.044878608060079,0.5224393040300395,1.031941760906963
UGC08286,17,108.25340123102201,6.367847131236589,2.429806566552297,2.449307828440449
UGC08490,30,185.6039087179858,6.186796957266194,2.424555360622927,2.5022481475438694
UGC08550,11,49.04491642823945,4.458628766203587,1.906269846475004,2.105961163092938
UGC08699,36,87.04414756594984,2.417892987943051,1.077096716740324,1.4912951099589007
UGC08837,8,3.6756394897345923,0.45945493621682404,0.22972746810841202,0.6005391105809526
UGC09037,22,438.8949841585216,19.949772007205528,4.897285966778167,4.35162823742362
UGC09133,65,677.0318711648506,10.415874940997702,2.7591301827480237,2.778556983784927
UGC10310,7,12.099563226021386,1.7285090322887695,0.8325036156668689,1.4301172986496788
UGC11455,33,1039.3230789580425,31.49463875630432,6.07229927333267,6.399519762554987
UGC11557,11,59.7068589531294,5.427896268466309,1.9982925222500227,1.9693308829190215
UGC11820,7,14.537263411740769,2.076751915962967,0.9993884231156571,1.2879304399706695
UGC11914,60,195.8097167551113,3.2634952792518552,1.4012995902304355,1.800132158686412
UGC12506,30,48.62714551549716,1.620904850516572,0.7424401515165218,0.8139433096956163
UGC12632,14,31.25148862484614,2.23224918748901,1.0393765444802496,1.4222876972257623
UGC12732,16,47.023528127911575,2.9389705079944735,1.3447707186979334,1.688451427034869
UGCA442,8,31.45691292308412,3.932114115385515,1.6964409967366523,2.1091533674264236
UGCA444,32,71.25915145916639,2.2268484830989497,1.0810936270533698,1.4871450970620783
