g_bar,g_obs
2.9644535804004454e-11,7.437808523803144e-11
1.0260701025432916e-11,1.4791248993040624e-11
1.1231968221835474e-11,3.319248945946537e-11
1.0314296720257569e-11,4.779142493499598e-11
9.386223435478135e-12,6.43531883972584e-11
9.160641649895965e-12,7.097588429921205e-11
8.787442327266225e-12,7.688682024391681e-11
5.559075332086889e-12,3.77662872942087e-11
5.1644504771530035e-12,3.612388907269011e-11
5.059850169860682e-12,3.072361210455075e-11
5.032827400825805e-12,3.4760197558758787e-11
5.051130167988559e-12,3.049730477630672e-11
4.717010178924874e-12,3.1042135581790474e-11
3.5356112414804893e-12,2.79176429532878e-11
3.3034478457054612e-12,2.6108858646642438e-11
3.00766392238268e-12,2.2267412082488283e-11
2.9075799734631416e-12,2.1562475083362126e-11
2.7987097887103694e-12,1.8114224728592938e-11
1.1909718342384219e-11,4.510693454309785e-11
1.7128376938715717e-11,7.595615195447402e-11
2.036048875329972e-11,1.0499423043485135e-10
2.054496904344948e-11,1.1620413397498655e-10
1.5702712711785944e-11,8.847220028646585e-11
1.184325213267172e-11,5.547502551950119e-11
1.1818270871045361e-11,5.098665832346303e-11
9.607228665613258e-12,4.432209853231591e-11
9.26361619564215e-12,4.309445683466819e-11
4.177853902416444e-12,1.2110246993591129e-11
5.310745353001474e-12,2.0967200543257943e-11
5.008838344872045e-12,2.8540652957373636e-11
4.336473060535041e-12,3.022854448165189e-11
4.52743710505519e-12,2.783095512118424e-11
4.435831538341203e-12,2.6483296688561845e-11
3.991245286631708e-12,2.5428658752135738e-11
1.949704236139752e-11,7.094149531609026e-11
1.7091045862756815e-11,8.521938204375016e-11
1.3937673887285034e-11,9.021681494137748e-11
1.2531357289384742e-11,8.549005639973648e-11
1.2020837850222494e-11,8.021409175662357e-11
1.287292317209686e-11,6.661098422754479e-11
1.314100098258525e-11,6.244333100269379e-11
